分类,中文,English,日本語
游戏本体,明日方舟：终末地,Arknights: Endfield,アークナイツ：エンドフィールド
游戏本体,终末地,Endfield,エンドフィールド
游戏本体,终末地工业,Endfield Industries,終末地工業
游戏本体,鹰角网络,Hypergryph | Gryphline,ハイパーグリフ | グリフライン
游戏本体,峘形山工作室,Grandet Mountain Studio,
游戏本体,塞壬唱片,Siren Records,セイレーンレコード
世界观 / 星球 / 核心概念,塔卫二,Talos-II,タロII
世界观 / 星球 / 核心概念,塔罗斯,Talos,タロス
世界观 / 星球 / 核心概念,泰拉,Terra,テラ
世界观 / 星球 / 核心概念,塔罗斯历,Talos Calendar,タロス暦
世界观 / 星球 / 核心概念,源石,Originium,オリジニウム
世界观 / 星球 / 核心概念,源石技艺,Arts,源石技芸 | アーツ
世界观 / 星球 / 核心概念,矿石病,Oripathy,オリパシー
世界观 / 星球 / 核心概念,感染者,Infected,感染者
世界观 / 星球 / 核心概念,超域,Umbra,ウムブラ | 超域
世界观 / 星球 / 核心概念,动态侵蚀,Dynamic Corrosion,動的侵食
世界观 / 星球 / 核心概念,裂隙,Rift,裂け目 | リフト
世界观 / 星球 / 核心概念,甚大裂隙,Major Rift,甚大裂け目
世界观 / 星球 / 核心概念,侵蚀,Corrosion | Erosion,侵食
世界观 / 星球 / 核心概念,协议源石,Protocol-Originium,プロトコル?オリジニウム
世界观 / 星球 / 核心概念,源石大树,Originium Tree,オリジニウム大樹
世界观 / 星球 / 核心概念,息壤,Restorative Soil | Xi Rang,息壤 | シーラン
世界观 / 星球 / 核心概念,壤心玉,Core-Heart Jade,壌心玉
世界观 / 星球 / 核心概念,灰质钉,Lynchpin,リンチピン
世界观 / 星球 / 核心概念,巨兽心脏,Colossus Heart,巨獣心臓
世界观 / 星球 / 核心概念,巨兽代理人,Colossus Proxy,巨獣代理人
世界观 / 星球 / 核心概念,司岁台,Si Sui Tai | Seasons Altar,司歳台
世界观 / 星球 / 核心概念,萨米,Sami,サーミ
世界观 / 星球 / 核心概念,终末地工业「零号委托」,Zeroth Directive,ゼロ号委託
世界观 / 星球 / 核心概念,「环带公约」,Belt Accord | Accord of the Civilized Belt,環帯公約
世界观 / 星球 / 核心概念,文明环带,Civilized Belt,文明環帯
核心地点 / 地标,帝江号,OMV Dijiang,帝江号 | ていごうごう
核心地点 / 地标,协议传送,Protocol Teleport,プロトコル転送
核心地点 / 地标,静滞核心,Stasis Core,スタシスコア
核心地点 / 地标,协议奇点,Protocol Singularity,プロトコル特異点
核心地点 / 地标,行迹高塔,Trailblaze Tower,
核心地点 / 地标,四号谷地,Valley IV,ヴァレーIV | 四号谷地
核心地点 / 地标,枢纽区,Hub Area,ハブエリア
核心地点 / 地标,源石研究园,Originium Research Park,オリジニウム研究園区
核心地点 / 地标,矿脉源区,Mineral Vein Area,鉱脈源区
核心地点 / 地标,供能高地,Energy Highlands,供能高地
核心地点 / 地标,阿伯莉采石场,Abri Quarry,アブリ採石場
核心地点 / 地标,阿伯莉之石,Stone of Abri,アブリの石
核心地点 / 地标,谷地通道,Valley Pass,谷地通路
核心地点 / 地标,武陵,Wuling City,武陵
核心地点 / 地标,武陵甚大裂隙,Wuling Major Rift,武陵甚大裂け目
核心地点 / 地标,应龙关,Yinglong Pass,応龍関
核心地点 / 地标,应龙特勤队,Yinglong Special Task Force,応龍特別部隊
核心地点 / 地标,谈剑堂,Tanjian Hall,談剣堂
核心地点 / 地标,赤霄剑法,Chixiao Sword Art,赤霄剣法
核心地点 / 地标,北部禁区,Northern Restricted Zone,北部禁区
核心地点 / 地标,首墩,Shoudun | 首墩天师桩,首墩
核心地点 / 地标,试验园区,Test Garden,試験園区
核心地点 / 地标,藏剑谷,Sword-Hiding Valley,蔵剣谷
核心地点 / 地标,巨山吼兽,Mountain-Beast Howler | Mountain Roar Beast,巨山吼獣
核心地点 / 地标,迷踪林,Lost Forest,迷踪林
核心地点 / 地标,武陵竹林茎结虫,Wuling Bamboo Stem-Bug,武陵竹林茎節虫
核心地点 / 地标,景玉谷,Jingyu Valley,景玉谷
核心地点 / 地标,淬剑荡,Cuijian Lake,淬剣の池
核心地点 / 地标,清波寨,Qingbo Village,清波砦
核心地点 / 地标,赛梦珂,Samenkho,サイメンコ
核心地点 / 地标,城市母亲,City Mother,都市の母
核心地点 / 地标,特里格拉夫,Triglav,トリグラフ
核心地点 / 地标,玛尔思波利斯,Marspolis,マルスポリス
核心地点 / 地标,合金萝卜自由市,Alloy Turnip Free City,
核心地点 / 地标,众生長地,Common Ground | 游牧者聚居地,衆生長地
核心地点 / 地标,北部开拓区,Northern Expanse,北部開拓区
核心地点 / 地标,派蒙测试场,,パイモン試験場 | 超域試験場
核心地点 / 地标,极光,Aurora of Talos-II,タロIIの極光
核心地点 / 地标,传送台,Teleport Pad,転送台
势力 / 组织,塔卫二全联盟工团,United Workers Syndicates of Talos-II | U.W.S.T.,タロII全聯盟工業団 | 工業団連盟
势力 / 组织,联盟工团,Workers Syndicates | The Syndicates,工業団
势力 / 组织,环塔商会,Pan-Tower Trade Association,環塔商會
势力 / 组织,宏山科学院,Hongshan Academy of Sciences,宏山科学院
势力 / 组织,天师府,Tianshi Prefecture,天師府
势力 / 组织,罗德岛,Rhodes Island,ロドス島 | ロドス製薬
势力 / 组织,寂语修会,Order of the Silent Word,寂語修会
势力 / 组织,铁誓军,Iron Oath,鉄誓軍
势力 / 组织,众生长地,Common Ground,衆生長地
势力 / 组织,塞什卡,Se?'qa,セシュカ
势力 / 组织,巫术时刻,Witch's Hour,魔術刻刻 | ウィッチズアワー
势力 / 组织,战争王庭,Court of War,戦爭王庭
势力 / 组织,筑桥者,Bridge-Builder,橋築き人
势力 / 组织,裂地者,Landbreakers,裂地者
势力 / 组织,狼群氏族,Wolfpack,狼群氏族
势力 / 组织,碾骨氏族,Bonecrusher Clan,碾骨氏族
势力 / 组织,沙盗氏族,Sand Bandits,砂盗氏族
势力 / 组织,乌萨斯帝国内卫,Ursus Imperial Guard,ウルサス帝国近衛
势力 / 组织,商业联合会,Commerce Federation,商業連合
势力 / 组织,武装信使,Armed Courier,武装使者
势力 / 组织,源点,Origin Point,源点 | ジェネシス
势力 / 组织,创世者,Founders,創始者たち
势力 / 组织,危机处理小组,Crisis Response Squad,危機処理チーム
势力 / 组织,协议回收部门,Protocol Recovery Department,プロトコル回収部門
势力 / 组织,特种技术部门,Special Technical Division,特殊技術部門
势力 / 组织,Z7 行动组,Z7 Action Team,Z7行動隊
势力 / 组织,天师,Tianshi | 源石技艺学者,天師
势力 / 组织,萨科塔,Sankta,サンクタ
势力 / 组织,源石技艺适应性,Arts Aptitude,アーツ適性
势力 / 组织,铁誓军盾卫旗队,Shieldguard Brigade,盾衛旗隊
势力 / 组织,铁誓军陷阵旗队,Vanguard Banner,陥陣旗隊
势力 / 组织,联盟工团安全局,U.W.S.T. Security Bureau,工業団安全局
势力 / 组织,烙铁指令,Iron Brand,烙鉄指令 | ブランド指令
势力 / 组织,工业母舰,Industrial Mothership,工業母艦
玩家角色,管理员,Endministrator | F | Muyaruilin,エンドミニストレーター | F
终末地工业,佩丽卡,Perlica,ペルリカ | ペリカ | ペリ
终末地工业,陈千语,Chen Qianyu,陳千語 | ちんせんご
终末地工业,狼卫,Wulfgard,ヴォルフガルト
终末地工业,洛茜,Luppino | Rossi,ルッピノ | ロッシ
终末地工业,伊冯,Yvonne,イヴォンヌ
终末地工业,汤汤,Tangtang,タンタン
终末地工业,赛希,Xaihi,サイヒー
终末地工业,余烬,Ember,エンバー
终末地工业,弧光,Arclight,アークライト
终末地工业,卡缪,Catcher | Camille,キャッチャー | カミーユ
终末地工业,安塔尔,Antal,アータル
终末地工业,埃特拉,Aetra,エートラ
终末地工业,萤石,Fluorite,フルオライト
终末地工业,秋栗,Qiuli,秋栗 | チウリ
终末地工业,莱万汀,Laevatain,レーヴァテイン
终末地工业,洁尔佩塔,Gilberta,ジルベルタ
终末地工业,艾尔黛拉,Ardelia,アルデリア
终末地工业,昼雪,Snowshine,スノーシャイン
终末地工业,艾维文娜,Avywenna,アヴィウェナ
终末地工业,阿列什,Alesh,アレーシュ
终末地工业,骏卫,Mi Fu,ミーフ
终末地工业,庄方宜,Zhuang Fangyi,莊方宜 | そうほうぎ
终末地工业,弭弗,Mifu,ミーフ
终末地工业,黎风,Lifeng,李風 | リーフォン
终末地工业,大潘,Da Pan,ダーパン
终末地工业,别礼,Last Rite,ラストライト
终末地工业,罗斯里,Rossi,ロッシ
终末地工业,阿尔卡,Arcane,アルケイン
终末地工业,莉诺,Liino,リーノ
终末地工业,思 Si,Si,シー
终末地工业,银灰,,シルバーアッシュ関連
罗德岛 / 宏山 / 寂语修会 / 铁誓军 / 众生长地 / 塞什卡 等,弗莱明,Fleming,フレミング
罗德岛 / 宏山 / 寂语修会 / 铁誓军 / 众生长地 / 塞什卡 等,决,,決 | けつ
罗德岛 / 宏山 / 寂语修会 / 铁誓军 / 众生长地 / 塞什卡 等,阮一,Ruan Yi,阮一 | ルアンイー
罗德岛 / 宏山 / 寂语修会 / 铁誓军 / 众生长地 / 塞什卡 等,阮临,Ruan Lin,阮臨 | ルアンリン
罗德岛 / 宏山 / 寂语修会 / 铁誓军 / 众生长地 / 塞什卡 等,黑面煞,Hei Mian Sha,黒面煞
罗德岛 / 宏山 / 寂语修会 / 铁誓军 / 众生长地 / 塞什卡 等,陆令香,Lu Lingxiang,陸令香
罗德岛 / 宏山 / 寂语修会 / 铁誓军 / 众生长地 / 塞什卡 等,连晓雾,Lian Xiaowu,連暁霧
罗德岛 / 宏山 / 寂语修会 / 铁誓军 / 众生长地 / 塞什卡 等,雷法,,雷法
罗德岛 / 宏山 / 寂语修会 / 铁誓军 / 众生长地 / 塞什卡 等,聂菲斯,Nefarith,ネファリス
罗德岛 / 宏山 / 寂语修会 / 铁誓军 / 众生长地 / 塞什卡 等,阿达希尔,Adahir,アダヒル
罗德岛 / 宏山 / 寂语修会 / 铁誓军 / 众生长地 / 塞什卡 等,雅各布·迈森,Jacob Meissen,ヤーコプ?マイセン
罗德岛 / 宏山 / 寂语修会 / 铁誓军 / 众生长地 / 塞什卡 等,安德烈,Andre,アンドレ
罗德岛 / 宏山 / 寂语修会 / 铁誓军 / 众生长地 / 塞什卡 等,秦茳尺,Qin Jiangchi,秦茳尺
罗德岛 / 宏山 / 寂语修会 / 铁誓军 / 众生长地 / 塞什卡 等,菲奥娜,Fiona,フィオナ
罗德岛 / 宏山 / 寂语修会 / 铁誓军 / 众生长地 / 塞什卡 等,马丁·马文·马伦,Martin Mavin Marn,マーティン
罗德岛 / 宏山 / 寂语修会 / 铁誓军 / 众生长地 / 塞什卡 等,卡拉德,Carrad,キャラド
罗德岛 / 宏山 / 寂语修会 / 铁誓军 / 众生长地 / 塞什卡 等,小道奇,Dodgie,ドッジ
罗德岛 / 宏山 / 寂语修会 / 铁誓军 / 众生长地 / 塞什卡 等,佐藤光吾,Sato Kogo,佐藤光吾
罗德岛 / 宏山 / 寂语修会 / 铁誓军 / 众生长地 / 塞什卡 等,奥佩罗,Opero,オペロ
罗德岛 / 宏山 / 寂语修会 / 铁誓军 / 众生长地 / 塞什卡 等,吉米尼,Gimini | Peko | Darhoff | Tal,
罗德岛 / 宏山 / 寂语修会 / 铁誓军 / 众生长地 / 塞什卡 等,M3,M3,M3
罗德岛 / 宏山 / 寂语修会 / 铁誓军 / 众生长地 / 塞什卡 等,华法琳,Warfarin,ワーファリン
罗德岛 / 宏山 / 寂语修会 / 铁誓军 / 众生长地 / 塞什卡 等,普瑞赛斯,Priestess,プリーステス
罗德岛 / 宏山 / 寂语修会 / 铁誓军 / 众生长地 / 塞什卡 等,博士,Doctor,ドクター
罗德岛 / 宏山 / 寂语修会 / 铁誓军 / 众生长地 / 塞什卡 等,希尔达,Hilda,ヒルダ
罗德岛 / 宏山 / 寂语修会 / 铁誓军 / 众生长地 / 塞什卡 等,阿莱克琉斯,Alexius,アレキシウス
罗德岛 / 宏山 / 寂语修会 / 铁誓军 / 众生长地 / 塞什卡 等,凯尔希,Kal'tsit,ケルスィ
罗德岛 / 宏山 / 寂语修会 / 铁誓军 / 众生长地 / 塞什卡 等,麦斯·克劳,Max Crow,マックス?クロウ
罗德岛 / 宏山 / 寂语修会 / 铁誓军 / 众生长地 / 塞什卡 等,法比安·柯林斯,Fabian Collins,ファビアン?コリンズ
罗德岛 / 宏山 / 寂语修会 / 铁誓军 / 众生长地 / 塞什卡 等,艾莱扎·柯林斯,Eleazar Collins,エレイザ?コリンズ
种族（部分出现在终末地中）,龙,Lung,龍 | ロン
种族（部分出现在终末地中）,黎博利,Liberi,リーベリ
种族（部分出现在终末地中）,鲁珀,Lupo,ルポ
种族（部分出现在终末地中）,萨卡兹,Sarkaz,サルカズ
种族（部分出现在终末地中）,食腐者,Ghoul | 萨卡兹分支,グール
种族（部分出现在终末地中）,阿纳萨,Anura,アヌラ
种族（部分出现在终末地中）,菲林,Feline,フェリン
种族（部分出现在终末地中）,库兰塔,Kuranta,クランタ
种族（部分出现在终末地中）,瓦伊凡,Vouivre,ヴュイヴル
种族（部分出现在终末地中）,萨弗拉,Savra,サヴラ
种族（部分出现在终末地中）,沃尔珀,Vulpo,ヴルポ
种族（部分出现在终末地中）,斐迪亚,Fedu,フェドゥ
种族（部分出现在终末地中）,卡特斯,Cautus,カウタス
种族（部分出现在终末地中）,佩洛,Perro,ペロ
种族（部分出现在终末地中）,乌萨斯,Ursus,ウルサス
种族（部分出现在终末地中）,丰蹄,Forte,フォルテ
